County/ Sub-County,Total*,Pre-Primary,Primary,Secondary,Technical and Vocational Training (TVET),University,Adult Basic Education,Madrasa/ Duksi,Don't Know,Not Stated
KENYA,"36,212,477","3,616,843","18,341,098","9,787,320","2,755,273","1,511,943","37,546","51,996","101,326","9,132"
Rural,"24,039,655","2,629,252","13,757,157","5,805,561","1,210,293","513,134","30,783","28,994","59,188","5,293"
Urban,"12,172,822","987,591","4,583,941","3,981,759","1,544,980","998,809","6,763","23,002","42,138","3,839"
Male,"18,127,920","1,831,127","9,014,925","4,953,224","1,342,878","879,128","16,510","27,251","58,314","4,563"
Female,"18,083,556","1,785,619","9,325,664","4,833,831","1,412,336","632,760","21,034","24,745","43,003","4,564"
Intersex,"1,001",97,509,265,59,55,2,,9,5
MOMBASA,"990,259","97,076","430,763","300,239","108,066","46,081",749,"3,678","3,356",251
Male,"507,180","48,282","211,461","162,278","54,043","27,031",358,"1,645","1,947",135
Female,"483,066","48,794","219,295","137,959","54,022","19,047",391,"2,033","1,409",116
CHANGAMWE,"113,346","9,412","46,958","38,842","13,618","3,955",64,74,411,12
Male,"59,561","4,716","23,470","21,191","7,386","2,472",31,36,255,4
Female,"53,785","4,696","23,488","17,651","6,232","1,483",33,38,156,8
JOMVU,"135,585","14,579","62,392","41,001","13,043","4,093",82,54,313,28
Male,"70,085","7,282","30,863","22,200","6,882","2,574",46,23,201,14
Female,"65,497","7,297","31,527","18,801","6,160","1,519",36,31,112,14
KISAUNI,"236,303","25,085","107,205","66,247","26,453","9,820",172,313,939,69
Male,"120,288","12,592","52,942","35,161","12,989","5,824",83,140,519,38
Female,"116,013","12,493","54,262","31,086","13,464","3,995",89,173,420,31
LIKONI,"203,522","23,313","94,569","63,217","16,830","4,537",203,289,541,23
Male,"105,103","11,450","46,141","35,153","8,876","2,922",98,158,290,15
Female,"98,417","11,863","48,427","28,063","7,954","1,615",105,131,251,8
MVITA,"119,741","8,611","44,973","35,884","15,909","11,025",124,"2,619",529,67
Male,"59,338","4,225","21,026","19,114","7,318","6,095",54,"1,148",318,40
Female,"60,402","4,386","23,946","16,770","8,591","4,930",70,"1,471",211,27
NYALI,"181,762","16,076","74,666","55,048","22,213","12,651",104,329,623,52
Male,"92,805","8,017","37,019","29,459","10,592","7,144",46,140,364,24
Female,"88,952","8,059","37,645","25,588","11,621","5,505",58,189,259,28
KWALE,"585,770","88,462","365,278","97,301","24,132","7,542",595,844,"1,447",169
Male,"304,149","45,273","185,712","54,022","12,602","4,841",300,462,848,89
Female,"281,610","43,186","179,560","43,278","11,529","2,701",295,382,599,80
KINANGO,"58,568","10,719","39,051","6,434","1,684",450,82,10,121,17
Male,"30,470","5,516","19,976","3,555",983,323,41,5,64,7
Female,"28,097","5,203","19,074","2,879",701,127,41,5,57,10
LUNGA LUNGA,"122,221","20,646","81,821","15,349","2,828",776,184,241,366,10
Male,"63,937","10,565","41,844","8,851","1,659",562,105,135,210,6
Female,"58,283","10,081","39,976","6,498","1,169",214,79,106,156,4
MATUGA,"139,714","19,569","85,636","25,632","6,096","2,138",155,179,268,41
Male,"72,298","10,113","43,267","14,084","3,113","1,361",65,109,164,22
Female,"67,414","9,456","42,368","11,547","2,983",777,90,70,104,19
MSAMBWENI,"136,026","15,454","73,634","33,027","9,723","3,238",81,372,467,30
Male,"70,023","7,761","37,063","18,023","4,716","1,924",39,196,282,19
Female,"66,000","7,692","36,570","15,004","5,006","1,314",42,176,185,11
SAMBURU,"129,241","22,074","85,136","16,859","3,801",940,93,42,225,71
Male,"67,421","11,318","43,562","9,509","2,131",671,50,17,128,35
Female,"61,816","10,754","41,572","7,350","1,670",269,43,25,97,36
