Company,Dividend,Announce Date,Book Closure Date,Payment Date
Kapchorua Tea Kenya Plc,15.00,28-Jun-2024,31-Jul-2024,2-Aug-2024
Williamson Tea Kenya Plc,15.00,28-Jun-2024,31-Jul-2024,2-Aug-2024
Diamond Trust Bank Kenya,6.00,21-Jun-2024,24-May-2024,
Kenya Re Insurance,0.30,,25-Jun-2024,9-Aug-2024
Jubilee Holdings Limited,2.30,30-May-2024,25-Jun-2024,
Jubilee Holdings Limited,10.00,30-May-2024,25-Jun-2024,
BK Group Plc,,22-May-2024,14-Jun-2024,
Laptrust Imara I-REIT,,21-May-2024,,
CIC Insurance Group Plc,0.13,,04-Jun-2024,
Safaricom Plc,0.65,09-May-2024,31-Jul-2024,
BOC Kenya Plc,6.05,,31-May-2024,
TotalEnergies Marketing Kenya Plc,1.92,31-Jul-2024,27-Jun-2024,
Liberty Kenya Holdings Plc,0.373,,,
Bamburi Cement Plc,5.47,,24-May-2024,
NCBA Group Plc,3.00,27-Mar-2024,30-Apr-2024,29-May-2024
Nairobi Securities Exchange Plc,0.16,02-Apr-2024,30-May-2024,31-Jul-2024
Diamond Trust Bank Kenya Ltd,6.00,27-Mar-2024,24-May-2024,28-Jun-2024
Equity Group Holdings Plc,4.00,27-Mar-2024,24-May-2024,28-Jun-2024
Umeme Limited,,,28-Jun-2024,19-Jul-2024
I&M Group Plc,2.25,,18-Apr-2024,
Limuru Tea PLC,1.00,,15-Apr-2024,
The Co-operative Bank of Kenya Ltd,1.50,,29-Apr-2024,
Kakuzi Plc,24.00,,31-May-2024,
Absa Bank Kenya Plc,1.35,18-Mar-2024,30-Apr-2024,23-May-2024
Standard Chartered Bank Kenya Limited,23.00,12-Mar-2024,19-Apr-2024,30-May-2024
Stanbic Holdings Plc,14.20,06-Mar-2024,17-May-2024,
Safaricom Plc,0.55,22-Feb-2024,15-Mar-2024,31-Mar-2024
B.A.T Kenya Plc,50.00,15-Feb-2024,24-May-2024,
East African Breweries Plc,1.00,26-Jan-2024,16-Feb-2024,
Sasini Plc,0.50,08-Jan-2024,22-Feb-2024,22-Mar-2024
Standard Chartered Bank Kenya,6.00,22-Nov-2023,14-Dec-2023,
Kapchorua Tea Kenya Plc,10.00,17-Nov-2023,07-Dec-2023,
Williamson Tea Kenya Plc,10.00,17-Nov-2023,07-Dec-2023,
BK Group Plc,,09-Nov-2023,29-Nov-2023,
Carbacid Investments Plc,,25-Oct-2023,24-Nov-2023,15-Dec-2023
KenGen Plc,,27-Oct-2023,30-Nov-2023,15-Feb-2024
ABSA Bank Kenya Plc,0.20,29-Aug-2023,21-Sep-2023,
NCBA Group Plc,1.75,24-Aug-2023,14-Sep-2023,
Umeme Ltd,,21-Aug-2023,09-Feb-2024,29-Feb-2024
Stanbic Holdings Plc,1.15,10-Aug-2023,04-Sep-2023,
East African Breweries Plc,1.75,28-Jul-2023,15-Sep-2023,
B.A.T Kenya Plc,5.00,19-Jul-2023,18-Aug-2023,
Safaricom Plc,0.62,11-May-2023,28-July-2023,31-Aug-2023
Williamson Tea Kenya Plc,30.00,29-June-2023,23-August-2023,
Kapchorua Tea Kenya Plc,25.00,29-June-2023,23-Aug-2023,
Sasini Plc,,10-May-2023,02-Jun-2023,
BK Group Plc,,31-Mar-2023,22-Jun-2023,01-Jul-2023
Nation Media Group Plc,1.50,06-Apr-2023,16-Jun-2023,31-July-2023
Crown Paints Kenya Plc,4.00,,28-Jun-2023,
Bamburi Cement Plc,0.75,,27-May-2023,
B.O.C Kenya Plc;,4.45,,31-May-2023,
Nairobi Securities Exchange Plc,0.20,,31-May-2023,
TotalEnergies Marketing Kenya Plc,1.31,,15-Jun-2023,
Jubilee Holdings Limited,8.00,27-Mar-2023,14-Jun-2023,
Jubilee Holdings Limited,3.00,27-Mar-2023,14-Jun-2023,
ILAM FAHARI I-REIT,,29-Mar-2023,06-Apr-2023,
