col_names,col_labels,col_types,as_type,is_type
County,County,factor,as.factor,is.factor
ClusterNo,NASSEP Cluster Number,numeric,as.numeric,is.numeric
HHNo,Household Number,numeric,as.numeric,is.numeric
interview__key,Interview key (identifier in XX-XX-XX-XX format),character,as.character,is.character
interview__id,Unique 32-character long identifier of the interview,character,as.character,is.character
A9,Cluster type,factor,as.factor,is.factor
A9i,What was the RESULTS of this interview?,factor,as.factor,is.factor
A10i,Sex,factor,as.factor,is.factor
A14v,Number of eligible persons,double,as.double,is.double
A14vi,Index of the selected person,double,as.double,is.double
A15,Language,factor,as.factor,is.factor
A15i,Language,character,as.character,is.character
A17,Not returned to complete their education,double,as.double,is.double
A18,Selected Respondent sex,factor,as.factor,is.factor
A19,AGE OF RESPONDENT,double,as.double,is.double
A20,Relation to HH Head,factor,as.factor,is.factor
A21,Education Completed,factor,as.factor,is.factor
A21i,Other Education level Completed,character,as.character,is.character
A22,Marital Status,factor,as.factor,is.factor
A23,Female HH Highest Formal Education,factor,as.factor,is.factor
A24,Chronic Disease,factor,as.factor,is.factor
A25,Persons with disability,factor,as.factor,is.factor
A26__1,Difficulty in seeing,double,as.double,is.double
A26__2,Difficulty in hearing,double,as.double,is.double
A26__3,Difficulty in walking or climbing steps (mobility),double,as.double,is.double
A26__4,Difficulty in remembering or concentration,double,as.double,is.double
A26__5,Difficulty in self-care e.g. washing all over or dressing,double,as.double,is.double
A26__6,Difficulty in communicating using your usual language,double,as.double,is.double
B1A,Main Life Goal,factor,as.factor,is.factor
B1B1,B1B1 People in your life,factor,as.factor,is.factor
B1B2,Keep money aside?,factor,as.factor,is.factor
B1B3,Spending plan,factor,as.factor,is.factor
B1B4,Loan Security,factor,as.factor,is.factor
B1B5,Overcome Financial problems,factor,as.factor,is.factor
B1C1,B1C1 Frequency gone without enough food to eat,factor,as.factor,is.factor
B1C2,Frequency gone without medicine or medical treatment,factor,as.factor,is.factor
B1C3,Frequency miss an important family event,factor,as.factor,is.factor
B1C4,B1C4.Frequency Child or any person you support  sent home for lack of school fee,factor,as.factor,is.factor
B1D,Financial decisions Maker-Large,factor,as.factor,is.factor
B1EF1,Draw on savings,numeric,as.numeric,is.numeric
B1EF2,Drawing on pension/annuity or access retirement savings,numeric,as.numeric,is.numeric
B1EF3,Rely on children or other family,numeric,as.numeric,is.numeric
B1EF4,Run my own business,numeric,as.numeric,is.numeric
B1EF5,Sell assets,numeric,as.numeric,is.numeric
B1EF6,"Income from investments (e.g shares,rental)",numeric,as.numeric,is.numeric
B1EF7,Live off the farm,numeric,as.numeric,is.numeric
B1EF8,Government fund for the old e.g Older persons(OPCT),numeric,as.numeric,is.numeric
B1EF9,Other (Specify),numeric,as.numeric,is.numeric
B1EF10,Don’t know how / Have no plans,numeric,as.numeric,is.numeric
B1EF11,Employment,numeric,as.numeric,is.numeric
B1EF98,Don't know (DO NOT READ OUT),numeric,as.numeric,is.numeric
B1EF99,Refused to Answer(DO NOT READ OUT),numeric,as.numeric,is.numeric
B1G,Remained Same or Worsened,factor,as.factor,is.factor
B1H,Access in Case of Emergency,factor,as.factor,is.factor
B1I,Access in Case of Emergency,factor,as.factor,is.factor
B1J,Source Emergency Funds,factor,as.factor,is.factor
B1K,Access in Case of Emergency,factor,as.factor,is.factor
B2A,Financial Advice,factor,as.factor,is.factor
B2B,Heard of CRB Report,factor,as.factor,is.factor
B2C,Access CRB Report,factor,as.factor,is.factor
B2D,Agree or Disagree Statements- Gaming,factor,as.factor,is.factor
B2E,Gaming,factor,as.factor,is.factor
B2F,Interest Paid Answer,factor,as.factor,is.factor
B2G,Can Read SMS,factor,as.factor,is.factor
B3A__1,"farming (crops, keeping livestock, fishing, aquaculture)",double,as.double,is.double
B3A__2,employment,double,as.double,is.double
B3A__3,casual work,double,as.double,is.double
B3A__4,running own business/Self employment,double,as.double,is.double
B3A__5,money from  NGO / Government/Social transfer,double,as.double,is.double
B3A__6,"renting,  land, house/rooms, equipment",double,as.double,is.double
B3A__7,"Earning money from investments, e.g. shares, stocks",double,as.double,is.double
B3A__8,Pension/Annuity,double,as.double,is.double
