County,A10i,A21,B3B,incomegpnew,freq
Trans Nzoia,Female,Completed technical training after secondary school,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 10,001-20,000",1
Busia,Female,Completed technical training after secondary school,Employed,"KSh 5,001 - 10,000",2
Machakos,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",3
Kisumu,Male,Primary completed,Casual worker,"KSh 1,001 - 3,000",23
Nyeri,Male,Primary completed,Running own business/Self employed,Don't Know,2
Murang'a,Male,Secondary completed ,Employed,"KSh 5,001 - 10,000",5
Nyeri,Male,Some primary ,Casual worker,"KSh 3,001 - 5,000",7
Baringo,Male,Primary completed,Casual worker,"KSh 5,001 - 10,000",10
Migori,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",21
Nyeri,Male,Primary completed,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",4
Kakamega,Female,None ,Money / support from family / friends / spouse,Don't Know,7
Kitui,Female,Some primary ,Employed,"KSh 1 - 1,000",1
Bomet,Male,Secondary completed ,Running own business/Self employed,"KSh 3,001 - 5,000",2
Garissa,Male,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 10,001-20,000",19
Kiambu,Male,Primary completed,Casual worker,"KSh 10,001-20,000",10
Nyamira,Male,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",4
Taita-Taveta,Male,Primary completed,Running own business/Self employed,"KSh 1,001 - 3,000",4
Kericho,Female,Secondary completed ,Casual worker,"KSh 1 - 1,000",1
Kisii,Male,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",3
Baringo,Male,Some technical training after secondary school,Money / support from family / friends / spouse,"KSh 1 - 1,000",1
Taita-Taveta,Female,None ,Money / support from family / friends / spouse,Don't Know,4
Kirinyaga,Male,Primary completed,Casual worker,"KSh 5,001 - 10,000",10
Homabay,Male,Primary completed,Casual worker,"KSh 1,001 - 3,000",9
Tana River,Male,Some primary ,Money / support from family / friends / spouse,Don't Know,8
Kakamega,Male,Some primary ,Employed,"KSh 3,001 - 5,000",3
Busia,Female,Secondary completed ,Running own business/Self employed,"KSh 5,001 - 10,000",2
Baringo,Male,Secondary completed ,Casual worker,"KSh 1,001 - 3,000",9
Wajir,Female,None ,Casual worker,"KSh 20,001 - 50,000",3
Homabay,Female,Some secondary,Running own business/Self employed,"KSh 3,001 - 5,000",1
Nyeri,Female,Secondary completed ,Casual worker,"KSh 3,001 - 5,000",2
Tana River,Female,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",11
Narok,Female,Some primary ,Casual worker,"KSh 3,001 - 5,000",3
Laikipia,Male,Completed technical training after secondary school,Employed,"KSh 10,001-20,000",1
Nyeri,Female,Some secondary,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",3
Laikipia,Female,None ,Running own business/Self employed,"KSh 3,001 - 5,000",1
