Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Tanzania,TZA,2018,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,40.0999984741211
Tanzania,TZA,2016,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,41.7000007629395
Tanzania,TZA,2014,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,50.7000007629395
Tanzania,TZA,2010,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,63.5
Tanzania,TZA,2005,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,66.4000015258789
Tanzania,TZA,2000,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,70.0999984741211
Tanzania,TZA,1995,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,73.6999969482422
Tanzania,TZA,1990,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,77.4000015258789
Tanzania,TZA,2017,Income share held by second 20%,SI.DST.02ND.20,10.5
Tanzania,TZA,2011,Income share held by second 20%,SI.DST.02ND.20,11.1
Tanzania,TZA,2007,Income share held by second 20%,SI.DST.02ND.20,10.6
Tanzania,TZA,2000,Income share held by second 20%,SI.DST.02ND.20,11.3
Tanzania,TZA,1991,Income share held by second 20%,SI.DST.02ND.20,12
Tanzania,TZA,2017,Income share held by third 20%,SI.DST.03RD.20,14.2
Tanzania,TZA,2011,Income share held by third 20%,SI.DST.03RD.20,14.9
Tanzania,TZA,2007,Income share held by third 20%,SI.DST.03RD.20,14.7
Tanzania,TZA,2000,Income share held by third 20%,SI.DST.03RD.20,15.4
Tanzania,TZA,1991,Income share held by third 20%,SI.DST.03RD.20,15.9
Tanzania,TZA,2017,Income share held by fourth 20%,SI.DST.04TH.20,20.4
Tanzania,TZA,2011,Income share held by fourth 20%,SI.DST.04TH.20,20.7
Tanzania,TZA,2007,Income share held by fourth 20%,SI.DST.04TH.20,21.1
Tanzania,TZA,2000,Income share held by fourth 20%,SI.DST.04TH.20,21.9
Tanzania,TZA,1991,Income share held by fourth 20%,SI.DST.04TH.20,22.1
Tanzania,TZA,2017,Income share held by highest 20%,SI.DST.05TH.20,48.1
Tanzania,TZA,2011,Income share held by highest 20%,SI.DST.05TH.20,45.8
Tanzania,TZA,2007,Income share held by highest 20%,SI.DST.05TH.20,47.2
Tanzania,TZA,2000,Income share held by highest 20%,SI.DST.05TH.20,44.7
Tanzania,TZA,1991,Income share held by highest 20%,SI.DST.05TH.20,43
Tanzania,TZA,2017,Income share held by highest 10%,SI.DST.10TH.10,33.1
Tanzania,TZA,2011,Income share held by highest 10%,SI.DST.10TH.10,31
Tanzania,TZA,2007,Income share held by highest 10%,SI.DST.10TH.10,31.9
Tanzania,TZA,2000,Income share held by highest 10%,SI.DST.10TH.10,28.9
Tanzania,TZA,1991,Income share held by highest 10%,SI.DST.10TH.10,27.1
Tanzania,TZA,2017,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,9.7
Tanzania,TZA,2011,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,9
Tanzania,TZA,2007,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,13.2
Tanzania,TZA,2000,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,12.5
Tanzania,TZA,1991,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,12.1
Tanzania,TZA,2017,Income share held by lowest 10%,SI.DST.FRST.10,2.9
Tanzania,TZA,2011,Income share held by lowest 10%,SI.DST.FRST.10,3.1
Tanzania,TZA,2007,Income share held by lowest 10%,SI.DST.FRST.10,2.5
Tanzania,TZA,2000,Income share held by lowest 10%,SI.DST.FRST.10,2.7
Tanzania,TZA,1991,Income share held by lowest 10%,SI.DST.FRST.10,2.7
Tanzania,TZA,2017,Income share held by lowest 20%,SI.DST.FRST.20,6.9
Tanzania,TZA,2011,Income share held by lowest 20%,SI.DST.FRST.20,7.4
Tanzania,TZA,2007,Income share held by lowest 20%,SI.DST.FRST.20,6.3
Tanzania,TZA,2000,Income share held by lowest 20%,SI.DST.FRST.20,6.8
Tanzania,TZA,1991,Income share held by lowest 20%,SI.DST.FRST.20,7
Tanzania,TZA,2017,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,49.4
Tanzania,TZA,2011,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,49.6
Tanzania,TZA,2007,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,60.3
Tanzania,TZA,2000,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,86.2
Tanzania,TZA,1991,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,72.3
Tanzania,TZA,2017,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,15.9
Tanzania,TZA,2011,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,15.6
Tanzania,TZA,2007,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,23.5
Tanzania,TZA,2000,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,46.3
Tanzania,TZA,1991,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,30.8
Tanzania,TZA,2017,Gini index (World Bank estimate),SI.POV.GINI,40.5
Tanzania,TZA,2011,Gini index (World Bank estimate),SI.POV.GINI,37.8
Tanzania,TZA,2007,Gini index (World Bank estimate),SI.POV.GINI,40.3
Tanzania,TZA,2000,Gini index (World Bank estimate),SI.POV.GINI,37.3
Tanzania,TZA,1991,Gini index (World Bank estimate),SI.POV.GINI,35.3
Tanzania,TZA,2017,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,76.8
Tanzania,TZA,2011,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,79.5
Tanzania,TZA,2007,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,83.8
Tanzania,TZA,2000,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,96.3
Tanzania,TZA,1991,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,91.4
Tanzania,TZA,2017,Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,36
Tanzania,TZA,2011,Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,36.5
Tanzania,TZA,2007,Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,44
Tanzania,TZA,2000,Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,65
Tanzania,TZA,1991,Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,52.2
Tanzania,TZA,2018,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,26.4
Tanzania,TZA,2017,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,26.4
Tanzania,TZA,2011,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,28.2
Tanzania,TZA,2007,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,34.4
Tanzania,TZA,2000,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,35.6
Tanzania,TZA,2017,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,91.8
Tanzania,TZA,2011,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,93.2
Tanzania,TZA,2007,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,94.9
Tanzania,TZA,2000,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,99.4
Tanzania,TZA,1991,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,98.2
Tanzania,TZA,2017,Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,57
Tanzania,TZA,2011,Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,58
Tanzania,TZA,2007,Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,63.6
Tanzania,TZA,2000,Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,78.9
Tanzania,TZA,1991,Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,70.4
Tanzania,TZA,2018,"Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)",SI.SPR.PC40,1.18
