"Country_Name","Country_Code","Indicator_Name","Indicator_Code","Year","Indicator_value"
"Kenya","KEN","Children out of school, primary, female","SE.PRM.UNER.FE",2012,"537736"
"Kenya","KEN","School enrollment, primary (gross), gender parity index (GPI)","SE.ENR.PRIM.FM.ZS",2012,"1.0080599784851101"
"Kenya","KEN","School enrollment, primary, female (% gross)","SE.PRM.ENRR.FE",2012,"112.41464233398401"
"Kenya","KEN","School enrollment, primary, male (% gross)","SE.PRM.ENRR.MA",2012,"111.51609802246099"
"Kenya","KEN","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS",2014,"100.183967590332"
"Kenya","KEN","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS",2014,"98.815101623535199"
"Kenya","KEN","Progression to secondary school, female (%)","SE.SEC.PROG.FE.ZS",2014,"99.318717956542997"
"Kenya","KEN","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS",2014,"98.211936950683594"
"Kenya","KEN","School enrollment, primary (gross), gender parity index (GPI)","SE.ENR.PRIM.FM.ZS",2014,"1.0066499710082999"
"Kenya","KEN","School enrollment, primary, female (% gross)","SE.PRM.ENRR.FE",2014,"108.46803283691401"
"Kenya","KEN","School enrollment, primary, male (% gross)","SE.PRM.ENRR.MA",2014,"107.75163269043"
"Kenya","KEN","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS",2015,"101.96230316162099"
"Kenya","KEN","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS",2015,"101.02304077148401"
"Kenya","KEN","Progression to secondary school, female (%)","SE.SEC.PROG.FE.ZS",2015,"100"
"Kenya","KEN","Progression to secondary school, male (%)","SE.SEC.PROG.MA.ZS",2015,"98.440040588378906"
