"Date","Currency","Mean","Buy","Sell"
"04/01/2024","STG POUND","198.9459","198.4182","199.4735"
"03/01/2024","STG POUND","199.0941","198.5876","199.6006"
"02/01/2024","STG POUND","199.8497","199.2018","200.4976"
"29/12/2023","STG POUND","199.8047","199.1971","200.4124"
"28/12/2023","STG POUND","198.9650","198.3735","199.5565"
"27/12/2023","STG POUND","197.1556","196.6712","197.6400"
"22/12/2023","STG POUND","196.1426","195.6953","196.5900"
"21/12/2023","STG POUND","195.8265","195.3971","196.2559"
"20/12/2023","STG POUND","196.4141","195.9694","196.8588"
"19/12/2023","STG POUND","195.1415","194.6924","195.5906"
"18/12/2023","STG POUND","195.8238","195.4929","196.1547"
"15/12/2023","STG POUND","194.9997","194.6888","195.3106"
"14/12/2023","STG POUND","192.1644","192.0106","192.3182"
"13/12/2023","STG POUND","192.8468","192.6912","193.0024"
"11/12/2023","STG POUND","192.8803","192.7194","193.0412"
"08/12/2023","STG POUND","192.7591","192.6029","192.9153"
"07/12/2023","STG POUND","193.2047","193.0476","193.3618"
"06/12/2023","STG POUND","193.5924","193.4359","193.7488"
"05/12/2023","STG POUND","194.2606","194.1100","194.4112"
"04/12/2023","STG POUND","193.8726","193.7088","194.0365"
"01/12/2023","STG POUND","193.7959","193.6335","193.9582"
"30/11/2023","STG POUND","194.4579","194.3024","194.6135"
"29/11/2023","STG POUND","193.3103","193.1547","193.4659"
"28/11/2023","STG POUND","193.1968","193.0371","193.3565"
"27/11/2023","STG POUND","192.2168","192.0582","192.3753"
"24/11/2023","STG POUND","191.6450","191.4965","191.7935"
"23/11/2023","STG POUND","191.3062","191.1500","191.4624"
"22/11/2023","STG POUND","191.2918","191.1388","191.4447"
"21/11/2023","STG POUND","190.1671","190.0106","190.3235"
"20/11/2023","STG POUND","189.3521","189.1982","189.5059"
"17/11/2023","STG POUND","188.9550","188.8000","189.1100"
"16/11/2023","STG POUND","189.5282","189.3800","189.6765"
"15/11/2023","STG POUND","186.7835","186.6265","186.9406"
"14/11/2023","STG POUND","185.5194","185.3653","185.6735"
"10/11/2023","STG POUND","186.0982","185.9459","186.2506"
"09/11/2023","STG POUND","185.7997","185.6565","185.9428"
"08/11/2023","STG POUND","186.2768","186.1271","186.4265"
"07/11/2023","STG POUND","187.4759","187.3247","187.6271"
"06/11/2023","STG POUND","186.3262","186.1824","186.4700"
"03/11/2023","STG POUND","184.2965","184.1482","184.4447"
"02/11/2023","STG POUND","182.7268","182.5747","182.8788"
"01/11/2023","STG POUND","183.2668","183.1100","183.4235"
"31/10/2023","STG POUND","182.7226","182.5759","182.8694"
"30/10/2023","STG POUND","182.6838","182.5394","182.8282"
"27/10/2023","STG POUND","182.0456","181.8953","182.1959"
"26/10/2023","STG POUND","182.3788","182.2318","182.5259"
"25/10/2023","STG POUND","183.0565","182.9082","183.2047"
"24/10/2023","STG POUND","182.5409","182.3959","182.6859"
"23/10/2023","STG POUND","182.0826","181.9324","182.2329"
"19/10/2023","STG POUND","182.3035","182.1618","182.4453"
"18/10/2023","STG POUND","181.7276","181.5782","181.8771"
"17/10/2023","STG POUND","181.9444","181.7929","182.0959"
"16/10/2023","STG POUND","181.9706","181.8229","182.1182"
"13/10/2023","STG POUND","183.1724","183.0294","183.3153"
"12/10/2023","STG POUND","183.2776","183.1347","183.4206"
"11/10/2023","STG POUND","181.5235","181.3771","181.6700"
"09/10/2023","STG POUND","181.6503","181.5018","181.7988"
"06/10/2023","STG POUND","180.4694","180.3271","180.6118"
"05/10/2023","STG POUND","180.7279","180.5829","180.8729"
"04/10/2023","STG POUND","179.2079","179.0624","179.3535"
"03/10/2023","STG POUND","180.2515","180.1024","180.4006"
"02/10/2023","STG POUND","181.4600","181.3159","181.6041"
"29/09/2023","STG POUND","180.5556","180.4029","180.7082"
"28/09/2023","STG POUND","179.6332","179.4829","179.7835"
"27/09/2023","STG POUND","180.0656","179.9135","180.2176"
"26/09/2023","STG POUND","180.3891","180.2453","180.5329"
"25/09/2023","STG POUND","180.8279","180.6776","180.9782"
"22/09/2023","STG POUND","181.0197","180.8700","181.1694"
"21/09/2023","STG POUND","182.2800","182.1259","182.4341"
"20/09/2023","STG POUND","182.4441","182.2959","182.5924"
"19/09/2023","STG POUND","182.0576","181.9100","182.2053"
"18/09/2023","STG POUND","182.2926","182.1441","182.4412"
"15/09/2023","STG POUND","182.3821","182.2347","182.5294"
"14/09/2023","STG POUND","183.2450","183.1012","183.3888"
"13/09/2023","STG POUND","182.6685","182.5206","182.8165"
"12/09/2023","STG POUND","183.3879","183.2306","183.5453"
"11/09/2023","STG POUND","182.6015","182.4541","182.7488"
"08/09/2023","STG POUND","182.1682","182.0182","182.3182"
"07/09/2023","STG POUND","183.3441","183.1912","183.4971"
"06/09/2023","STG POUND","183.2818","183.1312","183.4324"
"05/09/2023","STG POUND","184.0853","183.9324","184.2382"
"04/09/2023","STG POUND","184.7385","184.5865","184.8906"
