"Date","Price","Open","High","Low","Change %"
"Dec 02, 2020","110.600","110.100","110.705","109.950","0.41%"
"Dec 01, 2020","110.150","110.050","110.250","109.900","0.14%"
"Nov 30, 2020","110.000","110.000","110.200","109.900","0.05%"
"Nov 27, 2020","109.950","109.900","110.200","109.900","0.14%"
"Nov 26, 2020","109.800","109.800","110.060","109.750","0.00%"
"Nov 25, 2020","109.800","109.800","109.950","109.600","0.09%"
"Nov 24, 2020","109.700","109.400","109.850","109.400","0.18%"
"Nov 23, 2020","109.500","109.500","109.800","109.350","0.09%"
"Nov 20, 2020","109.400","109.400","109.700","109.200","0.14%"
"Nov 19, 2020","109.250","109.300","109.470","109.200","-0.05%"
"Nov 18, 2020","109.300","109.150","109.400","109.150","0.14%"
"Nov 17, 2020","109.150","109.250","109.350","108.920","0.00%"
"Nov 16, 2020","109.150","109.150","109.300","108.950","0.05%"
"Nov 13, 2020","109.100","109.150","109.270","109.050","0.05%"
"Nov 12, 2020","109.050","109.000","109.200","108.850","0.28%"
"Nov 11, 2020","108.750","108.950","109.100","108.850","-0.09%"
"Nov 10, 2020","108.850","108.850","109.050","108.800","0.05%"
"Nov 09, 2020","108.800","108.950","109.050","108.850","-0.14%"
"Nov 06, 2020","108.950","108.850","109.050","108.800","0.14%"
"Nov 05, 2020","108.800","108.900","109.020","108.800","0.00%"
"Nov 04, 2020","108.800","108.850","108.950","108.800","0.05%"
"Nov 03, 2020","108.750","108.850","108.950","108.750","0.00%"
"Nov 02, 2020","108.750","108.850","108.900","108.750","0.05%"
"Oct 30, 2020","108.700","108.800","108.900","108.750","0.00%"
"Oct 29, 2020","108.700","108.800","108.900","108.600","0.00%"
"Oct 28, 2020","108.700","108.850","108.900","108.750","0.00%"
"Oct 27, 2020","108.700","108.800","108.950","108.700","-0.05%"
"Oct 26, 2020","108.750","108.750","108.950","108.500","0.00%"
"Oct 23, 2020","108.750","108.800","108.900","108.600","0.00%"
"Oct 22, 2020","108.750","108.800","108.900","108.500","0.14%"
"Oct 21, 2020","108.600","108.600","108.850","108.600","-0.05%"
"Oct 19, 2020","108.650","108.600","108.800","108.600","0.05%"
"Oct 16, 2020","108.600","108.650","108.800","108.400","0.05%"
"Oct 15, 2020","108.550","108.600","108.710","108.500","0.14%"
"Oct 14, 2020","108.400","108.500","108.700","108.500","-0.14%"
"Oct 13, 2020","108.550","108.500","108.800","108.500","0.14%"
"Oct 12, 2020","108.400","108.400","108.650","108.400","-0.09%"
"Oct 09, 2020","108.500","108.500","108.600","108.450","0.00%"
"Oct 08, 2020","108.500","108.500","108.600","108.450","0.09%"
"Oct 07, 2020","108.400","108.550","108.600","108.450","-0.09%"
"Oct 06, 2020","108.500","108.450","108.600","108.385","0.09%"
"Oct 05, 2020","108.400","108.450","108.600","108.400","0.00%"
"Oct 02, 2020","108.400","108.500","108.600","108.400","0.05%"
"Oct 01, 2020","108.350","108.400","108.550","108.350","-0.05%"
"Sep 30, 2020","108.400","108.500","108.550","108.350","0.00%"
"Sep 29, 2020","108.400","108.500","108.550","108.400","0.00%"
"Sep 28, 2020","108.400","108.500","108.600","108.250","0.00%"
"Sep 25, 2020","108.400","108.500","108.550","108.350","0.00%"
"Sep 24, 2020","108.400","108.400","108.530","108.400","0.09%"
"Sep 23, 2020","108.300","108.400","108.500","108.350","0.00%"
"Sep 22, 2020","108.300","108.400","108.500","108.300","0.05%"
"Sep 21, 2020","108.250","108.400","108.550","108.050","0.00%"
"Sep 18, 2020","108.250","108.400","108.550","108.100","-0.05%"
"Sep 17, 2020","108.300","108.350","108.450","108.300","-0.05%"
"Sep 16, 2020","108.350","108.650","108.700","108.300","-0.18%"
"Sep 15, 2020","108.550","108.550","108.750","108.350","0.05%"
"Sep 14, 2020","108.500","108.550","108.650","108.200","0.05%"
"Sep 11, 2020","108.450","108.450","108.550","108.250","0.09%"
"Sep 10, 2020","108.350","108.350","108.500","108.300","0.00%"
"Sep 09, 2020","108.350","108.350","108.500","108.250","0.05%"
"Sep 08, 2020","108.300","108.300","108.450","108.250","0.00%"
"Sep 07, 2020","108.300","108.300","108.400","108.050","0.00%"
"Sep 04, 2020","108.300","108.350","108.400","108.250","0.05%"
"Sep 03, 2020","108.250","108.350","108.400","108.200","0.05%"
"Sep 02, 2020","108.200","108.200","108.450","108.050","0.00%"
"Sep 01, 2020","108.200","108.250","108.450","108.050","0.09%"
"Aug 31, 2020","108.100","108.200","108.450","108.050","0.05%"
"Aug 28, 2020","108.050","108.150","108.300","108.050","-0.05%"
"Aug 27, 2020","108.100","108.100","108.300","108.050","-0.09%"
"Aug 26, 2020","108.200","108.050","108.300","107.950","0.23%"
"Aug 25, 2020","107.950","108.050","108.250","107.950","0.00%"
"Aug 24, 2020","107.950","108.000","108.300","107.925","0.05%"
"Aug 21, 2020","107.900","108.050","108.075","107.875","-0.05%"
"Aug 20, 2020","107.950","108.450","108.650","107.950","-0.42%"
"Aug 19, 2020","108.400","108.400","108.700","108.350","0.05%"
"Aug 18, 2020","108.350","108.200","108.500","108.175","0.14%"
"Aug 17, 2020","108.200","108.200","108.400","108.000","-0.05%"
"Aug 14, 2020","108.250","108.300","108.450","108.145","0.05%"
"Aug 13, 2020","108.200","108.450","108.500","108.200","-0.14%"
"Aug 12, 2020","108.350","108.300","108.700","108.010","0.14%"
"Aug 11, 2020","108.200","108.100","108.400","107.850","0.19%"
"Aug 10, 2020","108.000","108.050","108.150","107.850","0.09%"
"Aug 07, 2020","107.900","108.000","108.050","107.700","-0.14%"
"Aug 06, 2020","108.050","107.900","108.050","107.800","0.23%"
"Aug 05, 2020","107.800","107.825","108.000","107.800","-0.07%"
"Aug 04, 2020","107.880","107.800","107.950","107.750","0.03%"
"Aug 03, 2020","107.850","107.750","107.950","107.700","0.09%"
"Jul 30, 2020","107.750","107.700","107.800","107.650","0.05%"
"Jul 29, 2020","107.700","107.850","107.850","107.600","-0.09%"
"Jul 28, 2020","107.800","107.700","107.900","107.650","0.00%"
"Jul 27, 2020","107.800","107.900","108.050","107.500","-0.05%"
"Jul 24, 2020","107.850","107.900","108.000","107.500","-0.14%"
"Jul 23, 2020","108.000","108.000","108.350","107.800","-0.37%"
"Jul 22, 2020","108.400","107.800","108.400","107.500","0.51%"
"Jul 21, 2020","107.850","107.700","107.950","107.355","0.19%"
"Jul 20, 2020","107.650","107.400","107.750","107.300","0.23%"
"Jul 17, 2020","107.400","107.500","107.650","107.300","-0.09%"
"Jul 16, 2020","107.500","107.350","107.530","107.100","0.09%"
"Jul 15, 2020","107.400","107.100","107.400","107.100","0.09%"
"Jul 14, 2020","107.300","107.000","107.450","106.900","0.19%"
"Jul 13, 2020","107.100","106.900","107.200","106.700","0.00%"
"Jul 10, 2020","107.100","106.850","107.100","106.850","0.14%"
"Jul 09, 2020","106.950","106.900","107.100","106.700","0.00%"
"Jul 08, 2020","106.950","106.700","107.050","106.450","0.19%"
"Jul 07, 2020","106.750","106.600","106.950","106.400","0.14%"
"Jul 06, 2020","106.600","106.600","106.700","106.500","0.05%"
"Jul 03, 2020","106.550","106.550","106.750","106.450","-0.14%"
"Jul 02, 2020","106.700","106.500","106.750","106.450","0.23%"
"Jul 01, 2020","106.450","106.500","106.600","106.450","-0.09%"
"Jun 30, 2020","106.550","106.450","106.650","106.450","0.00%"
"Jun 29, 2020","106.550","106.500","106.600","106.350","0.05%"
"Jun 26, 2020","106.500","106.400","106.550","106.100","-0.05%"
"Jun 25, 2020","106.550","106.300","106.600","106.300","0.09%"
"Jun 24, 2020","106.450","106.300","106.500","106.300","0.05%"
"Jun 23, 2020","106.400","106.500","106.600","106.250","0.00%"
"Jun 22, 2020","106.400","106.300","106.550","106.250","0.09%"
"Jun 19, 2020","106.300","106.450","106.550","106.250","0.00%"
"Jun 18, 2020","106.300","106.450","106.650","106.250","0.00%"
"Jun 17, 2020","106.300","106.500","106.700","106.200","-0.14%"
"Jun 16, 2020","106.450","106.475","106.675","106.400","-0.19%"
"Jun 15, 2020","106.650","106.450","106.650","106.400","0.19%"
"Jun 12, 2020","106.450","106.650","106.700","106.400","0.00%"
"Jun 11, 2020","106.450","106.500","106.900","106.300","-0.09%"
"Jun 10, 2020","106.550","106.500","106.700","106.200","0.09%"
"Jun 09, 2020","106.450","106.300","106.700","106.050","0.14%"
"Jun 08, 2020","106.300","106.200","106.600","106.050","0.14%"
"Jun 05, 2020","106.150","106.200","106.200","106.050","0.05%"
"Jun 04, 2020","106.100","106.200","106.200","106.000","-0.09%"
"Jun 03, 2020","106.200","106.400","106.600","106.000","-0.19%"
"Jun 02, 2020","106.400","106.800","106.950","106.350","-0.37%"
"May 29, 2020","106.800","106.900","107.050","106.750","-0.14%"
"May 28, 2020","106.950","107.050","107.200","106.890","-0.09%"
"May 27, 2020","107.050","107.000","107.200","106.950","-0.05%"
"May 26, 2020","107.100","107.000","107.300","106.790","0.09%"
"May 22, 2020","107.000","106.925","107.100","106.800","0.14%"
"May 21, 2020","106.850","106.900","107.050","106.790","-0.05%"
"May 20, 2020","106.900","106.700","107.200","106.450","0.09%"
"May 19, 2020","106.800","107.050","107.050","106.450","0.00%"
"May 18, 2020","106.800","106.800","107.200","106.300","-0.28%"
"May 15, 2020","107.100","106.800","107.100","106.600","0.33%"
