County/Sub County,Farming,Maize,Sorghum,Rice,Potatoes,Beans,Cassava,Sweet Potatoes,Wheat,Green grams,Bananas,Cabbages,Tomatoes,Onions,Ground Nuts,Millet,Watermelons,Kales,Sugarcane,Cotton
KENYA,"6,354,211","5,104,967","904,945","50,484","1,170,170","3,600,840","1,050,352","1,134,102","67,720","571,426","2,139,421","490,588","410,224","707,182","480,812","540,353","84,077","1,916,898","654,468","22,920"
MOMBASA,"12,497","5,681",,,,,"2,849",,,,"2,232",,,,,,,,,
CHANGAMWE,618,108,,,,,39,,,,65,,,,,,,,,
JOMVU,"2,418",895,,,,,360,,,,332,,,,,,,,,
KISAUNI,"6,257","3,456",,,,,"1,702",,,,"1,137",,,,,,,,,
LIKONI,"1,863",863,,,,,578,,,,485,,,,,,,,,
MVITA,309,81,,,,,39,,,,54,,,,,,,,,
NYALI,"1,032",278,,,,,131,,,,159,,,,,,,,,
KWALE,"108,074","93,143","2,784","8,585","1,038","8,619","46,004","10,388",,"20,536","28,831",,"10,008","1,124","5,636","1,290","3,794","10,775","5,089",
KINANGO,"13,855","12,556",552,60,87,"1,567","4,580","1,841",,"3,132","1,841",,"1,219",163,667,132,429,"1,746",322,
LUNGALUNGA,"29,299","25,717",454,"5,499",340,"1,899","11,279","2,093",,"5,508","8,424",,"3,013",332,717,327,881,"3,375","1,143",
MATUGA,"24,689","21,369",342,"1,143",233,"2,233","15,401","2,846",,"2,180","10,026",,"2,787",214,680,168,577,"3,250","1,891",
MSAMBWENI,"14,959","10,731",202,"1,811",226,"1,073","8,583","1,623",,"2,064","5,864",,"1,951",233,309,155,568,"1,337","1,131",
SAMBURU,"25,272","22,770","1,234",72,152,"1,847","6,161","1,985",,"7,652","2,676",,"1,038",182,"3,263",508,"1,339","1,067",602,
KILIFI,"161,188","143,913","2,911","2,847",,"10,319","58,225","9,899",,"30,359","26,712",,"8,854",,"2,570","1,522","4,649","6,982","6,383",
CHONYI,"10,025","9,703",35,131,,"2,196","6,204",461,,"3,756","3,146",,276,,413,41,39,199,233,
GANZE,"20,578","18,418","1,273",81,,899,"7,781",905,,"5,055","2,651",,952,,161,487,"1,638",951,379,
KALOLENI,"22,504","20,458",199,"1,343",,"2,051","8,810","2,078",,"2,812","4,047",,"1,237",,162,109,685,"1,448",798,
KAUMA,"2,867","2,621",41,8,,177,748,141,,387,406,,157,,17,7,66,135,108,
KILIFI NORTH,"18,690","16,616",160,79,,593,"6,199",689,,"3,212","2,029",,"1,029",,430,138,296,643,628,
KILIFI SOUTH,"15,114","12,930",126,469,,"1,041","5,838",688,,"3,373","3,440",,870,,376,89,282,544,733,
