Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Uganda,UGA,2018,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,48.2999992370605
Uganda,UGA,2016,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,47.5
Uganda,UGA,2014,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,53.5999984741211
Uganda,UGA,2010,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,60.0999984741211
Uganda,UGA,2005,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,66.6999969482422
Uganda,UGA,2000,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,75
Uganda,UGA,1995,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,75
Uganda,UGA,1990,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,75
Uganda,UGA,2016,Income share held by second 20%,SI.DST.02ND.20,9.8
Uganda,UGA,2012,Income share held by second 20%,SI.DST.02ND.20,10.4
Uganda,UGA,2009,Income share held by second 20%,SI.DST.02ND.20,9.8
Uganda,UGA,2005,Income share held by second 20%,SI.DST.02ND.20,9.9
Uganda,UGA,2002,Income share held by second 20%,SI.DST.02ND.20,9.6
Uganda,UGA,1999,Income share held by second 20%,SI.DST.02ND.20,10
Uganda,UGA,1996,Income share held by second 20%,SI.DST.02ND.20,10.8
Uganda,UGA,1992,Income share held by second 20%,SI.DST.02ND.20,10.4
Uganda,UGA,1989,Income share held by second 20%,SI.DST.02ND.20,9.3
Uganda,UGA,2016,Income share held by third 20%,SI.DST.03RD.20,13.8
Uganda,UGA,2012,Income share held by third 20%,SI.DST.03RD.20,14.3
Uganda,UGA,2009,Income share held by third 20%,SI.DST.03RD.20,13.5
Uganda,UGA,2005,Income share held by third 20%,SI.DST.03RD.20,13.8
Uganda,UGA,2002,Income share held by third 20%,SI.DST.03RD.20,13.3
Uganda,UGA,1999,Income share held by third 20%,SI.DST.03RD.20,14.1
Uganda,UGA,1996,Income share held by third 20%,SI.DST.03RD.20,14.9
Uganda,UGA,1992,Income share held by third 20%,SI.DST.03RD.20,14.6
Uganda,UGA,1989,Income share held by third 20%,SI.DST.03RD.20,14.3
Uganda,UGA,2016,Income share held by fourth 20%,SI.DST.04TH.20,20.4
Uganda,UGA,2012,Income share held by fourth 20%,SI.DST.04TH.20,20.6
Uganda,UGA,2009,Income share held by fourth 20%,SI.DST.04TH.20,19.6
Uganda,UGA,2005,Income share held by fourth 20%,SI.DST.04TH.20,20.4
Uganda,UGA,2002,Income share held by fourth 20%,SI.DST.04TH.20,19.1
Uganda,UGA,1999,Income share held by fourth 20%,SI.DST.04TH.20,20.3
Uganda,UGA,1996,Income share held by fourth 20%,SI.DST.04TH.20,21.1
Uganda,UGA,1992,Income share held by fourth 20%,SI.DST.04TH.20,20.6
Uganda,UGA,1989,Income share held by fourth 20%,SI.DST.04TH.20,21.6
Uganda,UGA,2016,Income share held by highest 20%,SI.DST.05TH.20,49.8
Uganda,UGA,2012,Income share held by highest 20%,SI.DST.05TH.20,48.3
Uganda,UGA,2009,Income share held by highest 20%,SI.DST.05TH.20,51.2
Uganda,UGA,2005,Income share held by highest 20%,SI.DST.05TH.20,49.8
Uganda,UGA,2002,Income share held by highest 20%,SI.DST.05TH.20,52.1
Uganda,UGA,1999,Income share held by highest 20%,SI.DST.05TH.20,49.7
Uganda,UGA,1996,Income share held by highest 20%,SI.DST.05TH.20,46.5
Uganda,UGA,1992,Income share held by highest 20%,SI.DST.05TH.20,48.2
Uganda,UGA,1989,Income share held by highest 20%,SI.DST.05TH.20,49.9
Uganda,UGA,2016,Income share held by highest 10%,SI.DST.10TH.10,34.2
Uganda,UGA,2012,Income share held by highest 10%,SI.DST.10TH.10,32.9
Uganda,UGA,2009,Income share held by highest 10%,SI.DST.10TH.10,36.4
Uganda,UGA,2005,Income share held by highest 10%,SI.DST.10TH.10,34.5
Uganda,UGA,2002,Income share held by highest 10%,SI.DST.10TH.10,37.5
Uganda,UGA,1999,Income share held by highest 10%,SI.DST.10TH.10,34.9
Uganda,UGA,1996,Income share held by highest 10%,SI.DST.10TH.10,31.3
Uganda,UGA,1992,Income share held by highest 10%,SI.DST.10TH.10,33.5
Uganda,UGA,1989,Income share held by highest 10%,SI.DST.10TH.10,33.7
Uganda,UGA,2016,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,13.1
Uganda,UGA,2012,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,12.2
Uganda,UGA,2009,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,12.7
Uganda,UGA,2005,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,12.9
Uganda,UGA,2002,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,12.9
Uganda,UGA,1999,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,14
Uganda,UGA,1996,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,11.2
Uganda,UGA,1992,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,13.9
Uganda,UGA,1989,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,20
Uganda,UGA,2016,Income share held by lowest 10%,SI.DST.FRST.10,2.5
Uganda,UGA,2012,Income share held by lowest 10%,SI.DST.FRST.10,2.5
Uganda,UGA,2009,Income share held by lowest 10%,SI.DST.FRST.10,2.3
Uganda,UGA,2005,Income share held by lowest 10%,SI.DST.FRST.10,2.4
Uganda,UGA,2002,Income share held by lowest 10%,SI.DST.FRST.10,2.4
Uganda,UGA,1999,Income share held by lowest 10%,SI.DST.FRST.10,2.3
Uganda,UGA,1996,Income share held by lowest 10%,SI.DST.FRST.10,2.8
Uganda,UGA,1992,Income share held by lowest 10%,SI.DST.FRST.10,2.4
Uganda,UGA,1989,Income share held by lowest 10%,SI.DST.FRST.10,1.9
Uganda,UGA,2016,Income share held by lowest 20%,SI.DST.FRST.20,6.1
Uganda,UGA,2012,Income share held by lowest 20%,SI.DST.FRST.20,6.4
Uganda,UGA,2009,Income share held by lowest 20%,SI.DST.FRST.20,5.9
Uganda,UGA,2005,Income share held by lowest 20%,SI.DST.FRST.20,6.1
Uganda,UGA,2002,Income share held by lowest 20%,SI.DST.FRST.20,5.9
Uganda,UGA,1999,Income share held by lowest 20%,SI.DST.FRST.20,5.9
Uganda,UGA,1996,Income share held by lowest 20%,SI.DST.FRST.20,6.8
Uganda,UGA,1992,Income share held by lowest 20%,SI.DST.FRST.20,6.2
Uganda,UGA,1989,Income share held by lowest 20%,SI.DST.FRST.20,4.9
Uganda,UGA,2016,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,41.5
Uganda,UGA,2012,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,35.7
Uganda,UGA,2009,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,44.5
Uganda,UGA,2005,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,56.3
Uganda,UGA,2002,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,64.9
Uganda,UGA,1999,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,66.8
Uganda,UGA,1996,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,62.3
Uganda,UGA,1992,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,63.8
Uganda,UGA,1989,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,57.6
Uganda,UGA,2016,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,13.1
Uganda,UGA,2012,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,10.7
Uganda,UGA,2009,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,14.6
Uganda,UGA,2005,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,21.1
Uganda,UGA,2002,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,26.4
