county ,01-Nov,02-Nov,03-Nov,04-Nov,05-Nov,06-Nov,07-Nov,08-Nov,09-Nov,10-Nov,11-Nov,12-Nov,13-Nov,14-Nov,15-Nov,16-Nov,17-Nov,18-Nov,19-Nov,20-Nov,21-Nov,22-Nov,23-Nov,24-Nov,25-Nov,26-Nov,27-Nov,28-Nov,29-Nov,30-Nov,cumulative
Nairobi City,202,362,226,1494,417,1109,263,336,371,322,1216,345,649,,,,,,,,,,,,,,,,,,33345
Mombasa,203,19,70,,87,,181,84,82,133,,98,183,,,,,,,,,,,,,,,,,,5551
Kajiado,15,8,17,,48,,38,24,27,43,,18,31,,,,,,,,,,,,,,,,,,2515
Busia,95,44,,,8,,30,50,39,2,,,30,,,,,,,,,,,,,,,,,,1885
Kiambu,18,38,34,,51,,47,45,52,221,,44,77,,,,,,,,,,,,,,,,,,4175
Machakos,6,24,22,,20,,12,9,17,30,,10,24,,,,,,,,,,,,,,,,,,1851
Uasin Gishu,,8,16,,23,,63,,34,66,,24,24,,,,,,,,,,,,,,,,,,1943
Migori,,1,2,,16,,1,1,,32,,1,,,,,,,,,,,,,,,,,,,713
Nakuru,18,46,9,,35,,62,18,14,63,,76,19,,,,,,,,,,,,,,,,,,3079
Laikipia,,23,7,,,,6,1,4,72,,2,5,,,,,,,,,,,,,,,,,,632
Nyeri,,6,3,,15,,21,20,17,12,,17,7,,,,,,,,,,,,,,,,,,506
Lamu,,,,,,,3,,4,,,7,9,,,,,,,,,,,,,,,,,,145
Garissa,1,17,,,,,,20,,,,1,4,,,,,,,,,,,,,,,,,,554
Taita/Taveta,4,,2,,1,,,,1,,,13,7,,,,,,,,,,,,,,,,,,231
Kericho,4,,3,,23,,30,,4,65,,41,75,,,,,,,,,,,,,,,,,,1061
Narok,,,4,,,,,,3,4,,5,13,,,,,,,,,,,,,,,,,,386
Isiolo,2,2,2,,,,2,1,2,,,,1,,,,,,,,,,,,,,,,,,122
Kisumu,17,10,7,,32,,53,,13,36,,31,17,,,,,,,,,,,,,,,,,,1416
Murang'a,4,2,3,,14,,6,,3,8,,5,4,,,,,,,,,,,,,,,,,,335
Makueni,,3,,,6,,1,4,,2,,,2,,,,,,,,,,,,,,,,,,215
Kilifi,17,8,11,,24,,36,,10,40,,74,124,,,,,,,,,,,,,,,,,,1007
Bomet,,,,,2,,4,,1,19,,3,17,,,,,,,,,,,,,,,,,,267
Kwale,8,3,13,,1,,15,1,,32,,14,2,,,,,,,,,,,,,,,,,,222
Tharaka-Nithi,,,2,,6,,5,3,1,3,,,1,,,,,,,,,,,,,,,,,,109
Turkana,4,,,,13,,21,33,1,5,,9,,,,,,,,,,,,,,,,,,,592
Siaya,,,,,10,,13,,,2,,9,,,,,,,,,,,,,,,,,,,224
Kirinyaga,5,,2,,2,,1,4,,4,,2,10,,,,,,,,,,,,,,,,,,151
Kisii,2,2,2,,7,,11,,7,11,,5,22,,,,,,,,,,,,,,,,,,723
Nandi,,2,2,,3,,4,,5,16,,2,5,,,,,,,,,,,,,,,,,,275
Nyandarua,4,2,,,23,,13,2,3,4,,,4,,,,,,,,,,,,,,,,,,152
Embu,17,,2,,4,,1,1,,11,,7,2,,,,,,,,,,,,,,,,,,282
Samburu,,,6,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,87
Wajir,,,,,1,,,,1,2,,,,,,,,,,,,,,,,,,,,,89
Trans Nzoia,,,,,26,,18,4,1,4,,32,4,,,,,,,,,,,,,,,,,,655
Meru,,44,10,,7,,8,2,8,13,,7,15,,,,,,,,,,,,,,,,,,464
Tana River,4,1,,,,,,,1,,,,8,,,,,,,,,,,,,,,,,,41
Baringo,,,,,1,,26,,,20,,,,,,,,,,,,,,,,,,,,,132
Vihiga,,1,3,,,,1,,2,3,,1,3,,,,,,,,,,,,,,,,,,89
Marsabit,,10,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,60
Mandera,,,7,,9,,,14,,11,,1,9,,,,,,,,,,,,,,,,,,79
Kitui,,1,,,,,4,21,1,1,,,1,,,,,,,,,,,,,,,,,,368
Nyamira,,,,,21,,13,1,5,8,,,1,,,,,,,,,,,,,,,,,,136
Kakamega,14,3,2,,32,,25,17,18,8,,1,37,,,,,,,,,,,,,,,,,,558
Bungoma,18,33,2,,2,,5,,1,2,,,7,,,,,,,,,,,,,,,,,,447
Homa Bay,3,,,,6,,20,3,4,2,,3,2,,,,,,,,,,,,,,,,,,161
Elgeyo/Marakwet,,1,,,5,,2,,2,5,,,15,,,,,,,,,,,,,,,,,,76
West Pokot,,,,,6,,,,,3,,6,,,,,,,,,,,,,,,,,,,102
Missing from tally ,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,4
Kenya,685,724,492,1494,1008,1109,1065,719,759,1344,,919,1470,,,,,,,,,,,,,,,,,,66996
