county ,01-Oct,02-Oct,03-Oct,04-Oct,05-Oct,06-Oct,07-Oct,08-Oct,09-Oct,10-Oct,11-Oct,12-Oct,13-Oct,14-Oct,15-Oct,16-Oct,17-Oct,18-Oct,19-Oct,20-Oct,21-Oct,22-Oct,23-Oct,24-Oct,25-Oct,26-Oct,27-Oct,28-Oct,29-Oct,30-Oct,31-Oct,cumulative_cases
Nairobi City,58.00,37.00,128.00,70.00,18.00,64.00,109.00,81.00,80.00,157.00,84.00,34.00,112.00,125.00,125.00,136.00,121.00,141.00,99.00,116.00,227.00,305.00,235.00,154.00,333.00,50.00,556.00,199.00,395.00,,,25091.00
Mombasa,22,15,13,15,,12,31,58,47,33,51,11,29,87,44,5,55,73,10,74,51,74,76,37,95,71,62,117,55,,,4146
Kajiado,,1,5,3,,1,4,2,11,,3,,2,16,7,15,10,9,3,9,11,18,13,5,16,13,12,9,11,,,2201
Busia,,,,,,,,,,1,10,4,24,35,7,16,8,20,18,16,19,14,23,28,19,21,,8,21,,,1559
Kiambu,4,7,5,11,1,8,7,13,10,8,29,1,5,25,11,9,13,30,10,50,6,18,22,30,23,3,32,102,44,,,3305
Machakos,7,7,7,6,,1,2,10,2,,7,,2,7,20,14,2,6,2,1,64,14,21,2,14,58,8,12,12,,,1634
Uasin Gishu,6,8,8,2,,6,12,5,22,16,,1,30,33,47,21,74,6,17,116,37,48,28,181,24,,68,55,103,,,1574
Migori,,,,,,,2,1,2,2,,,,,,14,,127,,,,9,,20,1,,,2,14,,,658
Nakuru,13,75,5,44,1,1,37,6,94,48,86,,25,113,47,66,110,,7,21,9,137,3,146,85,5,24,67,12,,,2413
Laikipia,7,1,,1,,1,5,8,,,,,5,3,13,5,9,6,,43,28,26,,24,,,22,9,,,,482
Nyeri,,,1,,,,,,,,2,,,5,2,5,2,14,,1,4,4,15,1,,,,16,3,,,377
Lamu,,,1,,,,1,,,,,,,,1,,,,,,,1,,,,,,,1,,,122
Garissa,,,2,,,,,13,12,9,5,,1,7,6,,20,,,,,15,,,11,6,,9,,,,510
Taita/Taveta,,1,,,,,,,4,,,2,,2,,,,9,,,,1,,,,1,,2,1,,,196
Kericho,13,1,,10,,1,3,,10,,11,,,,32,21,29,,,41,,58,,30,60,,,73,,,,747
Narok,6,1,,13,,,16,1,,8,,,,2,1,,4,,,,1,4,3,2,1,4,2,2,,,,331
Isiolo,,,,4,,,,,,4,,,2,,,,6,1,,3,,6,1,5,3,,,14,,,,110
