county ,01-Sep,02-Sep,03-Sep,04-Sep,05-Sep,06-Sep,07-Sep,08-Sep,09-Sep,10-Sep,11-Sep,12-Sep,13-Sep,14-Sep,15-Sep,16-Sep,17-Sep,18-Sep,19-Sep,20-Sep,21-Sep,22-Sep,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,28-Sep,29-Sep,30-Sep,cumulative_cases
Nairobi City,16,48,96,66,35,27,41,23,104,35,65,32,23,15,26-Jan,25,54,32,33,34,32,46,35,14,68,41,63,11,55,32,20734
Mombasa,17,3,21,2,25,1,6,2,,9,16,22,43,20,7,20,20,40,9,24,20,9,14,14,21,11,13,,15,10,2823
Kajiado,,,4,3,11,,2,1,,5,6,14,7,,2,2,2,6,3,3,,9,1,6,11,,5,3,1,8,1992
Busia,12,22,10,11,3,15,5,2,,1,2,2,,,8,2,2,,15,,,,5,1,10,22,9,2,,,1247
Kiambu,14,12,11,9,1,5,7,9,,9,6,7,10,2,2,4,3,11,4,19,5,6,23,9,13,2,10,6,21,5,2768
Machakos,2,2,7,3,,7,2,2,,5,4,1,1,1,6,2,6,1,2,1,4,3,1,2,8,4,,2,1,,1326
Uasin Gishu,6,8,9,1,4,1,,11,,2,13,5,5,,7,6,,6,,1,8,,8,5,3,4,2,6,,2,600
Migori,3,,1,,8,,,9,,1,,6,,,,,,,,,4,,,8,1,,,,,,464
Nakuru,,7,7,12,,7,,1,,9,4,29,7,,2,8,10,7,4,10,1,2,,24,4,10,58,4,19,24,1126
Laikipia,,1,9,2,,3,1,1,,,,1,2,,,,,15,1,,,4,,,2,,2,2,,,266
Nyeri,5,1,1,2,,,4,,,2,,6,2,,,1,3,,1,,,,,,1,,1,,,,302
Lamu,,,6,,,,,,,,,,1,,,,3,,,,,,,,,,,,,,117
Garissa,15,12,,21,,,1,9,,9,6,6,1,,,7,,,4,,1,1,,,6,,16,2,,14,394
Taita/Taveta,8,,8,10,,,4,2,,1,,,4,,1,1,,5,4,1,2,,,,5,1,,,,,173
Kericho,,24,1,3,,,,3,,,4,2,4,,5,,11,1,,1,,9,6,,2,1,5,,36,,354
Narok,,2,8,,,,,4,,,4,3,1,,1,,,,,,,,2,5,2,4,2,,,,260
Isiolo,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,61
Kisumu,1,9,,5,9,12,1,,,4,2,6,4,,7,5,26,5,3,19,4,44,19,6,19,17,14,1,10,22,539
Murang'a,,1,1,1,,,3,,,,1,1,,,,,,1,1,1,2,,,1,1,,1,,,2,187
Makueni,,1,,,,,2,,,2,,,,,1,,,1,,,,1,,,1,,,1,,,168
Kilifi,,,6,1,7,,2,2,,8,1,1,5,2,4,1,2,,,,2,,5,,1,3,,,6,2,228
Bomet,,4,2,,,,,1,,,2,,,,1,,,,4,,,,2,,1,,,,,5,142
Kwale,,,1,,,,,,,,,5,,,,,,1,,,1,,,,,,,1,1,,82
Tharaka-Nithi,,,,,1,,,,,,,,1,4,,,,,,,,,,,6,,1,,,,53
Turkana,,,,12,9,,4,,,7,,,29,,,4,5,,,8,,1,1,4,,14,6,,5,,215
Siaya,,1,,,,,,,,,,,,,,,3,,,1,,,1,,,1,2,,,3,80
Kirinyaga,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,87
Kisii,,10,,2,3,3,,7,,4,9,9,,,10,,7,,,20,,1,5,,28,,23,,8,6,328
Nandi,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,74
Nyandarua,,,,,7,1,,1,,,,2,,,,,,,,,,,,,1,,,,,,59
Embu,1,6,,,6,,1,,,3,10,1,5,,1,,1,7,,2,1,1,,,,12,,1,4,,150
Samburu,,,,,,,,,,,,,1,,2,,2,,,1,1,,,,,,,,,,56
Wajir,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,41
Trans Nzoia,,,,3,1,,,6,,2,2,,27,,1,,16,3,2,,,,1,28,,5,7,,,,179
Meru,,1,1,,,,3,1,,1,4,5,2,2,1,,5,,2,2,8,1,1,1,,,1,11,,8,142
Tana River,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,25
Baringo,,,,1,2,,,,,,,1,,,,,,1,,,,,,,,,,,,,44
Vihiga,,,,,,,,,,,,6,,,,,,,,,,,,1,,,,,,,36
Marsabit,,,,,,,,,,,,,,,,,,,,1,,,,,,2,1,,,2,24
Mandera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
Kitui,14,2,,6,1,,11,54,,23,27,2,2,,,,,4,2,,,,,5,,,,,24,1,303
Nyamira,,,,3,,,,,,,,,,,,,,,,1,,,,,,,,,,1,27
Kakamega,,,,,2,,,,,,1,,1,,1,3,,,3,2,,,,,,1,1,,1,1,80
Bungoma,,,1,,,,2,,,,1,,,,,,,,8,,,,,2,2,2,1,,,1,64
Homa Bay,,,,,,,,,,,,1,,1,,,2,,,,,,,2,1,,,,,,70
Elgeyo/Marakwet,,,,,1,,,,,,,,,,,,,1,,,2,,,,,,,,,,10
West Pokot,,,1,,,,,,,,,,,,,,,,,,,,,2,,6,,,,2,17
Missing from tally ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Kenya,114,178,212,179,136,83,102,151,104,143,190,176,188,48,96,92,183,148,105,152,98,139,130,141,218,164,244,53,210,151,38545
